obs_time_utc,name,city,current_speed,free_flow_speed,current_travel_time,free_flow_travel_time,congestion_ratio,road_closure,confidence
2026-08-18 04:00:00+00:00,Jl. Akses UI (Kelapa Dua),Jabodetabek,21.0,26.0,647.0,523.0,0.1923076923076923,0.0,0.853559
2026-08-18 05:00:00+00:00,Jl. Akses UI (Kelapa Dua),Jabodetabek,26.0,26.0,523.0,523.0,0.0,0.0,1.0
2026-08-18 07:00:00+00:00,Jl. Akses UI (Kelapa Dua),Jabodetabek,26.0,26.0,523.0,523.0,0.0,0.0,1.0
2026-08-18 09:00:00+00:00,Jl. Akses UI (Kelapa Dua),Jabodetabek,19.0,25.0,715.0,544.0,0.24,0.0,0.99
2026-08-18 10:00:00+00:00,Jl. Akses UI (Kelapa Dua),Jabodetabek,19.0,25.0,715.0,544.0,0.24,0.0,0.987896
2026-08-18 12:00:00+00:00,Jl. Akses UI (Kelapa Dua),Jabodetabek,26.0,26.0,523.0,523.0,0.0,0.0,1.0
2026-08-18 14:00:00+00:00,Jl. Akses UI (Kelapa Dua),Jabodetabek,26.0,26.0,523.0,523.0,0.0,0.0,1.0
2026-08-18 15:00:00+00:00,Jl. Akses UI (Kelapa Dua),Jabodetabek,26.0,26.0,523.0,523.0,0.0,0.0,1.0
2026-08-18 17:00:00+00:00,Jl. Akses UI (Kelapa Dua),Jabodetabek,26.0,26.0,523.0,523.0,0.0,0.0,1.0
2026-08-18 19:00:00+00:00,Jl. Akses UI (Kelapa Dua),Jabodetabek,26.0,26.0,523.0,523.0,0.0,0.0,1.0
2026-08-18 20:00:00+00:00,Jl. Akses UI (Kelapa Dua),Jabodetabek,26.0,26.0,523.0,523.0,0.0,0.0,1.0
2026-08-18 22:00:00+00:00,Jl. Akses UI (Kelapa Dua),Jabodetabek,26.0,26.0,523.0,523.0,0.0,0.0,1.0
2026-08-19 00:00:00+00:00,Jl. Akses UI (Kelapa Dua),Jabodetabek,26.0,26.0,523.0,523.0,0.0,0.0,1.0
2026-08-19 01:00:00+00:00,Jl. Akses UI (Kelapa Dua),Jabodetabek,26.0,26.0,523.0,523.0,0.0,0.0,1.0
2026-08-19 03:00:00+00:00,Jl. Akses UI (Kelapa Dua),Jabodetabek,26.0,26.0,523.0,523.0,0.0,0.0,1.0
2026-08-19 05:00:00+00:00,Jl. Akses UI (Kelapa Dua),Jabodetabek,26.0,26.0,523.0,523.0,0.0,0.0,1.0
2026-08-19 06:00:00+00:00,Jl. Akses UI (Kelapa Dua),Jabodetabek,26.0,26.0,523.0,523.0,0.0,0.0,1.0
2026-08-19 08:00:00+00:00,Jl. Akses UI (Kelapa Dua),Jabodetabek,20.0,25.0,680.0,544.0,0.19999999999999996,0.0,0.956719
2026-08-19 10:00:00+00:00,Jl. Akses UI (Kelapa Dua),Jabodetabek,20.0,26.0,680.0,523.0,0.23076923076923073,0.0,0.986909
2026-08-19 11:00:00+00:00,Jl. Akses UI (Kelapa Dua),Jabodetabek,26.0,26.0,523.0,523.0,0.0,0.0,1.0
2026-08-19 13:00:00+00:00,Jl. Akses UI (Kelapa Dua),Jabodetabek,26.0,26.0,523.0,523.0,0.0,0.0,1.0
2026-08-19 15:00:00+00:00,Jl. Akses UI (Kelapa Dua),Jabodetabek,26.0,26.0,523.0,523.0,0.0,0.0,1.0
2026-08-19 16:00:00+00:00,Jl. Akses UI (Kelapa Dua),Jabodetabek,26.0,26.0,523.0,523.0,0.0,0.0,1.0
2026-08-19 18:00:00+00:00,Jl. Akses UI (Kelapa Dua),Jabodetabek,26.0,26.0,523.0,523.0,0.0,0.0,1.0
2026-08-19 20:00:00+00:00,Jl. Akses UI (Kelapa Dua),Jabodetabek,26.0,26.0,523.0,523.0,0.0,0.0,1.0
2026-08-19 21:00:00+00:00,Jl. Akses UI (Kelapa Dua),Jabodetabek,26.0,26.0,523.0,523.0,0.0,0.0,1.0
2026-08-19 23:00:00+00:00,Jl. Akses UI (Kelapa Dua),Jabodetabek,19.0,26.0,715.0,523.0,0.2692307692307693,0.0,0.891039
2026-08-20 01:00:00+00:00,Jl. Akses UI (Kelapa Dua),Jabodetabek,26.0,26.0,523.0,523.0,0.0,0.0,1.0
2026-08-20 02:00:00+00:00,Jl. Akses UI (Kelapa Dua),Jabodetabek,26.0,26.0,523.0,523.0,0.0,0.0,1.0
2026-08-20 04:00:00+00:00,Jl. Akses UI (Kelapa Dua),Jabodetabek,19.0,25.0,715.0,544.0,0.24,0.0,0.969371
2026-08-20 06:00:00+00:00,Jl. Akses UI (Kelapa Dua),Jabodetabek,26.0,26.0,523.0,523.0,0.0,0.0,1.0
2026-08-20 07:00:00+00:00,Jl. Akses UI (Kelapa Dua),Jabodetabek,21.0,26.0,647.0,523.0,0.1923076923076923,0.0,0.957074
2026-08-20 09:00:00+00:00,Jl. Akses UI (Kelapa Dua),Jabodetabek,26.0,26.0,523.0,523.0,0.0,0.0,1.0
2026-08-20 11:00:00+00:00,Jl. Akses UI (Kelapa Dua),Jabodetabek,26.0,26.0,523.0,523.0,0.0,0.0,1.0
2026-08-20 12:00:00+00:00,Jl. Akses UI (Kelapa Dua),Jabodetabek,26.0,26.0,523.0,523.0,0.0,0.0,1.0
2026-08-20 14:00:00+00:00,Jl. Akses UI (Kelapa Dua),Jabodetabek,26.0,26.0,523.0,523.0,0.0,0.0,1.0
2026-08-20 16:00:00+00:00,Jl. Akses UI (Kelapa Dua),Jabodetabek,26.0,26.0,523.0,523.0,0.0,0.0,1.0
2026-08-20 17:00:00+00:00,Jl. Akses UI (Kelapa Dua),Jabodetabek,26.0,26.0,523.0,523.0,0.0,0.0,1.0
2026-08-20 19:00:00+00:00,Jl. Akses UI (Kelapa Dua),Jabodetabek,26.0,26.0,523.0,523.0,0.0,0.0,1.0
2026-08-20 21:00:00+00:00,Jl. Akses UI (Kelapa Dua),Jabodetabek,26.0,26.0,523.0,523.0,0.0,0.0,1.0
2026-08-20 22:00:00+00:00,Jl. Akses UI (Kelapa Dua),Jabodetabek,26.0,26.0,523.0,523.0,0.0,0.0,1.0
2026-08-21 00:00:00+00:00,Jl. Akses UI (Kelapa Dua),Jabodetabek,26.0,26.0,523.0,523.0,0.0,0.0,1.0
2026-08-21 02:00:00+00:00,Jl. Akses UI (Kelapa Dua),Jabodetabek,26.0,26.0,523.0,523.0,0.0,0.0,1.0
2026-08-21 03:00:00+00:00,Jl. Akses UI (Kelapa Dua),Jabodetabek,26.0,26.0,523.0,523.0,0.0,0.0,1.0
2026-08-21 05:00:00+00:00,Jl. Akses UI (Kelapa Dua),Jabodetabek,26.0,26.0,523.0,523.0,0.0,0.0,1.0
